epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4210.57,1.0809,1.17527,1.16766,0.60755,0.46186,0.5049,0.35204,1.15971,1.24222,1.1742,2.94644e-05,2.94644e-05,2.94644e-05
40,4313.16,1.08933,1.18819,1.17329,0.61572,0.45816,0.50358,0.35169,1.15673,1.23604,1.17268,2.71082e-05,2.71082e-05,2.71082e-05
41,4408.86,1.09187,1.14648,1.16271,0.60282,0.45064,0.492,0.34374,1.16558,1.26431,1.1798,2.4752e-05,2.4752e-05,2.4752e-05
42,4504.63,1.07345,1.1038,1.15697,0.58484,0.46723,0.49519,0.34395,1.17322,1.2628,1.18427,2.23958e-05,2.23958e-05,2.23958e-05
43,4609.5,1.0676,1.08041,1.14487,0.5649,0.48012,0.49568,0.3446,1.17349,1.25897,1.18348,2.00396e-05,2.00396e-05,2.00396e-05
44,4720.3,1.05632,1.06676,1.13992,0.59741,0.45999,0.49898,0.34755,1.16869,1.25697,1.18217,1.76834e-05,1.76834e-05,1.76834e-05
45,4821.09,1.04419,1.05275,1.13871,0.57754,0.47653,0.50155,0.34853,1.16524,1.25131,1.17972,1.53272e-05,1.53272e-05,1.53272e-05
46,4923.78,1.05013,1.05062,1.13691,0.58715,0.47817,0.50481,0.35088,1.16548,1.2469,1.17731,1.2971e-05,1.2971e-05,1.2971e-05
47,5021.27,1.04196,1.03875,1.13073,0.61273,0.46261,0.50469,0.35195,1.16627,1.24839,1.17862,1.06148e-05,1.06148e-05,1.06148e-05
48,5115.22,1.04875,1.03743,1.13659,0.61323,0.46486,0.5016,0.35055,1.16591,1.247,1.17795,8.2586e-06,8.2586e-06,8.2586e-06
49,5209.68,1.0481,1.03988,1.13659,0.58741,0.47743,0.5017,0.3498,1.16705,1.24568,1.17793,5.9024e-06,5.9024e-06,5.9024e-06
50,5315.22,1.04096,1.02744,1.13279,0.59509,0.47464,0.50343,0.35164,1.16431,1.24426,1.17639,3.5462e-06,3.5462e-06,3.5462e-06
